,0
0,Packaged Foods
1,Biotechnology
2,Electronic Gaming & Multimedia
3,Insurance Brokers
4,Software - Application
5,Diagnostics & Research
6,Engineering & Construction
7,Medical Instruments & Supplies
8,Oil & Gas Midstream
9,Specialty Retail
10,Aerospace & Defense
11,Drug Manufacturers - Specialty & Generic
12,Waste Management
13,Information Technology Services
14,Credit Services
15,Medical Devices
16,Software - Infrastructure
17,Restaurants
18,Other Precious Metals & Mining
19,Insurance - Property & Casualty
20,Internet Content & Information
21,Household & Personal Products
22,Lodging
23,Health Information Services
24,Auto Manufacturers
25,Marine Shipping
26,Telecom Services
27,Communication Equipment
28,Farm & Heavy Construction Machinery
29,Auto Parts
30,Specialty Industrial Machinery
31,Healthcare Plans
32,Computer Hardware
33,Entertainment
34,Broadcasting
35,Oil & Gas Refining & Marketing
36,Semiconductor Equipment & Materials
37,Education & Training Services
38,Electrical Equipment & Parts
39,Mortgage Finance
40,Specialty Chemicals
41,Tools & Accessories
42,Capital Markets
43,Beverages - Non-Alcoholic
44,Oil & Gas Equipment & Services
45,Steel
46,Electronics & Computer Distribution
47,Food Distribution
48,Other Industrial Metals & Mining
49,Medical Care Facilities
50,Resorts & Casinos
51,Oil & Gas E&P
52,Conglomerates
53,Oil & Gas Drilling
54,Textile Manufacturing
55,Gambling
56,Semiconductors
57,Farm Products
58,Insurance - Life
59,Insurance - Diversified
60,REIT - Hotel & Motel
61,Chemicals
62,Agricultural Inputs
63,Auto & Truck Dealerships
64,Residential Construction
65,Recreational Vehicles
66,Building Products & Equipment
67,Trucking
68,Publishing
69,Electronic Components
70,Consulting Services
71,Banks - Regional
72,Airlines
73,Luxury Goods
74,Packaging & Containers
75,Scientific & Technical Instruments
76,Asset Management
77,Shell Companies
78,REIT - Mortgage
79,Staffing & Employment Services
80,Metal Fabrication
81,"Furnishings, Fixtures & Appliances"
82,Apparel Retail
83,Utilities - Regulated Water
84,REIT - Healthcare Facilities
85,Aluminum
86,Industrial Distribution
87,REIT - Industrial
88,Apparel Manufacturing
89,Banks - Diversified
90,Financial Data & Stock Exchanges
91,Copper
92,Solar
93,Rental & Leasing Services
94,Consumer Electronics
95,Leisure
96,Internet Retail
97,Specialty Business Services
98,Drug Manufacturers - General
99,Insurance - Specialty
100,Travel Services
101,Grocery Stores
102,Utilities - Regulated Electric
103,Advertising Agencies
104,Insurance - Reinsurance
105,Utilities - Diversified
106,Utilities - Regulated Gas
107,Coking Coal
108,Pollution & Treatment Controls
109,Integrated Freight & Logistics
110,Infrastructure Operations
111,Footwear & Accessories
112,Pharmaceutical Retailers
113,Financial Conglomerates
114,Airports & Air Services
115,Home Improvement Retail
116,Security & Protection Services
117,Railroads
118,Oil & Gas Integrated
119,Thermal Coal
120,Real Estate Services
121,Personal Services
122,Beverages - Brewers
123,Building Materials
124,Uranium
125,Gold
126,Confectioners
127,REIT - Retail
128,Exchange Traded Fund
129,Closed-End Fund - Debt
130,Paper & Paper Products
131,Closed-End Fund - Equity
132,Business Equipment & Supplies
133,Beverages - Wineries & Distilleries
134,Tobacco
135,Lumber & Wood Production
136,Utilities - Renewable
137,Closed-End Fund - Foreign
138,Discount Stores
139,REIT - Residential
140,Real Estate - Development
141,REIT - Diversified
142,Utilities - Independent Power Producers
143,Medical Distribution
144,REIT - Specialty
145,Department Stores
146,Real Estate - Diversified
147,REIT - Office
148,Silver
